global_play_order,unit_number,section_number_global,section_number_in_unit,card_key,card_name,arcana_type,is_symbol_intro,node_number,node_type,node_id,format_code,format_name,anchor_variant,node_phase,cards_involved,cards_to_recall_count,distractor_tier,notes
117,3,17,1,minor_wands_page,Page of Wands,minor,False,1,standard,U3-S17-N1,A1,Choose Card From Keywords,keywords,isolation,minor_wands_page|major_09_hermit|major_02_high_priestess|minor_cups_04,1,easy,First exposure: full keyword list -> card art
118,3,17,1,minor_wands_page,Page of Wands,minor,False,2,standard,U3-S17-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_wands_page|major_09_hermit|major_02_high_priestess|minor_cups_04,1,easy,Reverse direction: card art -> matching description
119,3,17,1,minor_wands_page,Page of Wands,minor,False,3,standard,U3-S17-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_wands_page|major_09_hermit|major_02_high_priestess|minor_cups_04,1,easy,Second anchor variant of the same new card (no new symbol this section)
120,3,17,1,minor_wands_page,Page of Wands,minor,False,4,standard,U3-S17-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_wands_page|minor_cups_king|major_09_hermit|major_02_high_priestess,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
121,3,17,1,minor_wands_page,Page of Wands,minor,False,5,standard,U3-S17-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_wands_page|minor_cups_king,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
122,3,17,1,minor_wands_page,Page of Wands,minor,False,6,standard,U3-S17-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_wands_page|minor_cups_king,2,n/a,True/False statements drawn from the new card plus recently taught cards
123,3,17,1,minor_wands_page,Page of Wands,minor,False,7,standard,U3-S17-N7,C,Board Matching,tile_grid,interleave_review,minor_wands_page|minor_cups_king|minor_cups_queen,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
124,3,18,2,minor_wands_knight,Knight of Wands,minor,False,1,standard,U3-S18-N1,A1,Choose Card From Keywords,keywords,isolation,minor_wands_knight|major_09_hermit|major_02_high_priestess|minor_cups_10,1,easy,First exposure: full keyword list -> card art
125,3,18,2,minor_wands_knight,Knight of Wands,minor,False,2,standard,U3-S18-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_wands_knight|major_09_hermit|major_02_high_priestess|minor_cups_10,1,easy,Reverse direction: card art -> matching description
126,3,18,2,minor_wands_knight,Knight of Wands,minor,False,3,standard,U3-S18-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_wands_knight|major_09_hermit|major_02_high_priestess|minor_cups_10,1,easy,Second anchor variant of the same new card (no new symbol this section)
127,3,18,2,minor_wands_knight,Knight of Wands,minor,False,4,standard,U3-S18-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_wands_knight|minor_wands_page|major_09_hermit|major_02_high_priestess,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
128,3,18,2,minor_wands_knight,Knight of Wands,minor,False,5,standard,U3-S18-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_wands_knight|minor_wands_page,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
129,3,18,2,minor_wands_knight,Knight of Wands,minor,False,6,standard,U3-S18-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_wands_knight|minor_wands_page,2,n/a,True/False statements drawn from the new card plus recently taught cards
130,3,18,2,minor_wands_knight,Knight of Wands,minor,False,7,standard,U3-S18-N7,C,Board Matching,tile_grid,interleave_review,minor_wands_knight|minor_wands_page|minor_cups_king,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
131,3,19,3,minor_wands_queen,Queen of Wands,minor,False,1,standard,U3-S19-N1,A1,Choose Card From Keywords,keywords,isolation,minor_wands_queen|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
132,3,19,3,minor_wands_queen,Queen of Wands,minor,False,2,standard,U3-S19-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_wands_queen|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
133,3,19,3,minor_wands_queen,Queen of Wands,minor,False,3,standard,U3-S19-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_wands_queen|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Second anchor variant of the same new card (no new symbol this section)
134,3,19,3,minor_wands_queen,Queen of Wands,minor,False,4,standard,U3-S19-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_wands_queen|minor_wands_knight|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
135,3,19,3,minor_wands_queen,Queen of Wands,minor,False,5,standard,U3-S19-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_wands_queen|minor_wands_knight,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
136,3,19,3,minor_wands_queen,Queen of Wands,minor,False,6,standard,U3-S19-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_wands_queen|minor_wands_knight,2,n/a,True/False statements drawn from the new card plus recently taught cards
137,3,19,3,minor_wands_queen,Queen of Wands,minor,False,7,standard,U3-S19-N7,C,Board Matching,tile_grid,interleave_review,minor_wands_queen|minor_wands_knight|minor_wands_page,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
138,3,20,4,minor_wands_king,King of Wands,minor,False,1,standard,U3-S20-N1,A1,Choose Card From Keywords,keywords,isolation,minor_wands_king|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
139,3,20,4,minor_wands_king,King of Wands,minor,False,2,standard,U3-S20-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_wands_king|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
140,3,20,4,minor_wands_king,King of Wands,minor,False,3,standard,U3-S20-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_wands_king|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Second anchor variant of the same new card (no new symbol this section)
141,3,20,4,minor_wands_king,King of Wands,minor,False,4,standard,U3-S20-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_wands_king|minor_wands_queen|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
142,3,20,4,minor_wands_king,King of Wands,minor,False,5,standard,U3-S20-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_wands_king|minor_wands_queen,2,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
143,3,20,4,minor_wands_king,King of Wands,minor,False,6,standard,U3-S20-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_wands_king|minor_wands_queen,2,n/a,True/False statements drawn from the new card plus recently taught cards
144,3,20,4,minor_wands_king,King of Wands,minor,False,7,standard,U3-S20-N7,C,Board Matching,tile_grid,interleave_review,minor_wands_king|minor_wands_queen|minor_wands_knight,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
145,3,20,4,minor_wands_king,King of Wands,minor,False,8,throwback,U3-S20-THROWBACK-N8,B,True/False Talking Point,mixed_card_statements,throwback_review,minor_pentacles_ace|major_06_lovers|minor_swords_ace,3,n/a,"Deliberately NOT recency-biased: pulls the 3 cards least recently seen (gap of 10-12 sections since last exposure), independent of the new card"
146,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,1,standard,U3-S21-N1,A1,Choose Card From Keywords,keywords,isolation,minor_pentacles_page|major_16_tower|major_02_high_priestess|major_00_fool,1,easy,First exposure: full keyword list -> card art
147,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,2,standard,U3-S21-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_pentacles_page|major_16_tower|major_02_high_priestess|major_00_fool,1,easy,Reverse direction: card art -> matching description
148,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,3,standard,U3-S21-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_pentacles_page|major_16_tower|major_02_high_priestess|major_00_fool,1,easy,Second anchor variant of the same new card (no new symbol this section)
149,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,4,standard,U3-S21-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_pentacles_page|minor_wands_king|major_16_tower|major_02_high_priestess,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
150,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,5,standard,U3-S21-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_pentacles_page|minor_wands_king|minor_wands_queen,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
151,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,6,standard,U3-S21-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_pentacles_page|minor_wands_king,2,n/a,True/False statements drawn from the new card plus recently taught cards
152,3,21,5,minor_pentacles_page,Page of Pentacles,minor,False,7,standard,U3-S21-N7,C,Board Matching,tile_grid,interleave_review,minor_pentacles_page|minor_wands_king|minor_wands_queen,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
153,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,1,standard,U3-S22-N1,A1,Choose Card From Keywords,keywords,isolation,minor_pentacles_knight|major_00_fool|major_16_tower|major_02_high_priestess,1,easy,First exposure: full keyword list -> card art
154,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,2,standard,U3-S22-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_pentacles_knight|major_00_fool|major_16_tower|major_02_high_priestess,1,easy,Reverse direction: card art -> matching description
155,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,3,standard,U3-S22-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_pentacles_knight|major_00_fool|major_16_tower|major_02_high_priestess,1,easy,Second anchor variant of the same new card (no new symbol this section)
156,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,4,standard,U3-S22-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_pentacles_knight|minor_pentacles_page|major_00_fool|major_16_tower,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
157,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,5,standard,U3-S22-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_pentacles_knight|minor_pentacles_page|minor_wands_king,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
158,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,6,standard,U3-S22-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_pentacles_knight|minor_pentacles_page,2,n/a,True/False statements drawn from the new card plus recently taught cards
159,3,22,6,minor_pentacles_knight,Knight of Pentacles,minor,False,7,standard,U3-S22-N7,C,Board Matching,tile_grid,interleave_review,minor_pentacles_knight|minor_pentacles_page|minor_wands_king,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
160,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,1,standard,U3-S23-N1,A1,Choose Card From Keywords,keywords,isolation,minor_pentacles_queen|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,First exposure: full keyword list -> card art
161,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,2,standard,U3-S23-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_pentacles_queen|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Reverse direction: card art -> matching description
162,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,3,standard,U3-S23-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_pentacles_queen|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Second anchor variant of the same new card (no new symbol this section)
163,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,4,standard,U3-S23-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_pentacles_queen|minor_pentacles_knight|major_12_hanged_man|major_16_tower,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
164,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,5,standard,U3-S23-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_pentacles_queen|minor_pentacles_knight|minor_pentacles_page,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
165,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,6,standard,U3-S23-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_pentacles_queen|minor_pentacles_knight,2,n/a,True/False statements drawn from the new card plus recently taught cards
166,3,23,7,minor_pentacles_queen,Queen of Pentacles,minor,False,7,standard,U3-S23-N7,C,Board Matching,tile_grid,interleave_review,minor_pentacles_queen|minor_pentacles_knight|minor_pentacles_page,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
167,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,1,standard,U3-S24-N1,A1,Choose Card From Keywords,keywords,isolation,minor_pentacles_king|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,First exposure: full keyword list -> card art
168,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,2,standard,U3-S24-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_pentacles_king|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Reverse direction: card art -> matching description
169,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,3,standard,U3-S24-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_pentacles_king|major_12_hanged_man|major_16_tower|major_18_moon,1,easy,Second anchor variant of the same new card (no new symbol this section)
170,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,4,standard,U3-S24-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_pentacles_king|minor_pentacles_queen|major_12_hanged_man|major_16_tower,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
171,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,5,standard,U3-S24-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_pentacles_king|minor_pentacles_queen|minor_pentacles_knight,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
172,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,6,standard,U3-S24-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_pentacles_king|minor_pentacles_queen,2,n/a,True/False statements drawn from the new card plus recently taught cards
173,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,7,standard,U3-S24-N7,C,Board Matching,tile_grid,interleave_review,minor_pentacles_king|minor_pentacles_queen|minor_pentacles_knight,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
174,3,24,8,minor_pentacles_king,King of Pentacles,minor,False,8,throwback,U3-S24-THROWBACK-N8,C,Board Matching,tile_grid,throwback_review,major_08_strength|major_00_fool|minor_cups_ace,3,n/a,"Deliberately NOT recency-biased: pulls the 3 cards least recently seen (gap of 12-13 sections since last exposure), independent of the new card"
175,3,24,RECAP,,Unit 3 Recap,mixed,False,1,unit_recap,U3-S24-UNIT_RECAP-N1,C,Board Matching,tile_grid,unit_recap,minor_wands_page|minor_wands_knight|minor_wands_queen|minor_wands_king|minor_pentacles_page|minor_pentacles_knight|minor_pentacles_queen|minor_pentacles_king,8,n/a,"End-of-unit checkpoint: boards every card from Unit 3 against each other, no new card introduced"
176,3,24,CUMULATIVE,,Cumulative Review after Unit 3,mixed,False,1,cumulative_review,U3-S24-CUMULATIVE_REVIEW-N1,C,Board Matching,tile_grid,cumulative_review,major_00_fool|minor_cups_ace|major_01_magician|minor_wands_ace|major_03_empress|major_04_emperor,6,n/a,Reaches back across ALL prior units (not just this one) to the 6 stalest cards overall
177,4,25,1,minor_swords_page,Page of Swords,minor,False,1,standard,U4-S25-N1,A1,Choose Card From Keywords,keywords,isolation,minor_swords_page|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
178,4,25,1,minor_swords_page,Page of Swords,minor,False,2,standard,U4-S25-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_swords_page|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
179,4,25,1,minor_swords_page,Page of Swords,minor,False,3,standard,U4-S25-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_swords_page|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Second anchor variant of the same new card (no new symbol this section)
180,4,25,1,minor_swords_page,Page of Swords,minor,False,4,standard,U4-S25-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_swords_page|minor_pentacles_king|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
181,4,25,1,minor_swords_page,Page of Swords,minor,False,5,standard,U4-S25-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_swords_page|minor_pentacles_king|minor_pentacles_queen,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
182,4,25,1,minor_swords_page,Page of Swords,minor,False,6,standard,U4-S25-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_swords_page|minor_pentacles_king,2,n/a,True/False statements drawn from the new card plus recently taught cards
183,4,25,1,minor_swords_page,Page of Swords,minor,False,7,standard,U4-S25-N7,C,Board Matching,tile_grid,interleave_review,minor_swords_page|minor_pentacles_king|minor_pentacles_queen,3,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
184,4,26,2,minor_swords_knight,Knight of Swords,minor,False,1,standard,U4-S26-N1,A1,Choose Card From Keywords,keywords,isolation,minor_swords_knight|major_02_high_priestess|major_12_hanged_man|major_18_moon,1,easy,First exposure: full keyword list -> card art
185,4,26,2,minor_swords_knight,Knight of Swords,minor,False,2,standard,U4-S26-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_swords_knight|major_02_high_priestess|major_12_hanged_man|major_18_moon,1,easy,Reverse direction: card art -> matching description
186,4,26,2,minor_swords_knight,Knight of Swords,minor,False,3,standard,U4-S26-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_swords_knight|major_02_high_priestess|major_12_hanged_man|major_18_moon,1,easy,Second anchor variant of the same new card (no new symbol this section)
187,4,26,2,minor_swords_knight,Knight of Swords,minor,False,4,standard,U4-S26-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_swords_knight|minor_swords_page|major_02_high_priestess|major_12_hanged_man,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
188,4,26,2,minor_swords_knight,Knight of Swords,minor,False,5,standard,U4-S26-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_swords_knight|minor_swords_page|minor_pentacles_king,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
189,4,26,2,minor_swords_knight,Knight of Swords,minor,False,6,standard,U4-S26-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_swords_knight|minor_swords_page,2,n/a,True/False statements drawn from the new card plus recently taught cards
190,4,26,2,minor_swords_knight,Knight of Swords,minor,False,7,standard,U4-S26-N7,C,Board Matching,tile_grid,interleave_review,minor_swords_knight|minor_swords_page|minor_pentacles_king|minor_pentacles_queen,4,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
191,4,27,3,minor_swords_queen,Queen of Swords,minor,False,1,standard,U4-S27-N1,A1,Choose Card From Keywords,keywords,isolation,minor_swords_queen|major_16_tower|major_00_fool|major_12_hanged_man,1,easy,First exposure: full keyword list -> card art
192,4,27,3,minor_swords_queen,Queen of Swords,minor,False,2,standard,U4-S27-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_swords_queen|major_16_tower|major_00_fool|major_12_hanged_man,1,easy,Reverse direction: card art -> matching description
193,4,27,3,minor_swords_queen,Queen of Swords,minor,False,3,standard,U4-S27-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_swords_queen|major_16_tower|major_00_fool|major_12_hanged_man,1,easy,Second anchor variant of the same new card (no new symbol this section)
194,4,27,3,minor_swords_queen,Queen of Swords,minor,False,4,standard,U4-S27-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_swords_queen|minor_swords_knight|major_16_tower|major_00_fool,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
195,4,27,3,minor_swords_queen,Queen of Swords,minor,False,5,standard,U4-S27-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_swords_queen|minor_swords_knight|minor_swords_page,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
196,4,27,3,minor_swords_queen,Queen of Swords,minor,False,6,standard,U4-S27-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_swords_queen|minor_swords_knight,2,n/a,True/False statements drawn from the new card plus recently taught cards
197,4,27,3,minor_swords_queen,Queen of Swords,minor,False,7,standard,U4-S27-N7,C,Board Matching,tile_grid,interleave_review,minor_swords_queen|minor_swords_knight|minor_swords_page|minor_pentacles_king,4,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
198,4,28,4,minor_swords_king,King of Swords,minor,False,1,standard,U4-S28-N1,A1,Choose Card From Keywords,keywords,isolation,minor_swords_king|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,First exposure: full keyword list -> card art
199,4,28,4,minor_swords_king,King of Swords,minor,False,2,standard,U4-S28-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,minor_swords_king|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Reverse direction: card art -> matching description
200,4,28,4,minor_swords_king,King of Swords,minor,False,3,standard,U4-S28-N3,A1,Choose Card From Keywords,description_anonymized,isolation,minor_swords_king|major_12_hanged_man|major_18_moon|minor_swords_08,1,easy,Second anchor variant of the same new card (no new symbol this section)
201,4,28,4,minor_swords_king,King of Swords,minor,False,4,standard,U4-S28-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,minor_swords_king|minor_swords_queen|major_12_hanged_man|major_18_moon,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
202,4,28,4,minor_swords_king,King of Swords,minor,False,5,standard,U4-S28-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,minor_swords_king|minor_swords_queen|minor_swords_knight,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
203,4,28,4,minor_swords_king,King of Swords,minor,False,6,standard,U4-S28-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,minor_swords_king|minor_swords_queen,2,n/a,True/False statements drawn from the new card plus recently taught cards
204,4,28,4,minor_swords_king,King of Swords,minor,False,7,standard,U4-S28-N7,C,Board Matching,tile_grid,interleave_review,minor_swords_king|minor_swords_queen|minor_swords_knight|minor_swords_page,4,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
205,4,28,4,minor_swords_king,King of Swords,minor,False,8,throwback,U4-S28-THROWBACK-N8,B,True/False Talking Point,mixed_card_statements,throwback_review,major_01_magician|major_11_justice|major_19_sun,3,n/a,"Deliberately NOT recency-biased: pulls the 3 cards least recently seen (gap of 14-16 sections since last exposure), independent of the new card"
206,4,29,5,major_07_chariot,The Chariot,major,True,1,standard,U4-S29-N1,A1,Choose Card From Keywords,keywords,isolation,major_07_chariot|major_02_high_priestess|major_03_empress|major_09_hermit,1,easy,First exposure: full keyword list -> card art
207,4,29,5,major_07_chariot,The Chariot,major,True,2,standard,U4-S29-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_07_chariot|major_02_high_priestess|major_03_empress|major_09_hermit,1,easy,Reverse direction: card art -> matching description
208,4,29,5,major_07_chariot,The Chariot,major,True,3,standard,U4-S29-N3,A7,Symbol Selection From Label,label_to_symbol_icon,isolation,major_07_chariot,1,easy,New symbol taught: Zodiac Sign - Cancer
209,4,29,5,major_07_chariot,The Chariot,major,True,4,standard,U4-S29-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_07_chariot|minor_swords_king|major_02_high_priestess|major_03_empress,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
210,4,29,5,major_07_chariot,The Chariot,major,True,5,standard,U4-S29-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_07_chariot|minor_swords_king|minor_swords_queen,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
211,4,29,5,major_07_chariot,The Chariot,major,True,6,standard,U4-S29-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_07_chariot|minor_swords_king,2,n/a,True/False statements drawn from the new card plus recently taught cards
212,4,29,5,major_07_chariot,The Chariot,major,True,7,standard,U4-S29-N7,C,Board Matching,tile_grid,interleave_review,major_07_chariot|minor_swords_king|minor_swords_queen|minor_swords_knight,4,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
213,4,30,6,major_09_hermit,The Hermit,major,True,1,standard,U4-S30-N1,A1,Choose Card From Keywords,keywords,isolation,major_09_hermit|major_16_tower|major_00_fool|minor_wands_knight,1,easy,First exposure: full keyword list -> card art
214,4,30,6,major_09_hermit,The Hermit,major,True,2,standard,U4-S30-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_09_hermit|major_16_tower|major_00_fool|minor_wands_knight,1,easy,Reverse direction: card art -> matching description
215,4,30,6,major_09_hermit,The Hermit,major,True,3,standard,U4-S30-N3,A4,Symbol Identification,card_art_to_symbol_name,isolation,major_09_hermit,1,easy,New symbol taught: Zodiac Sign - Virgo
216,4,30,6,major_09_hermit,The Hermit,major,True,4,standard,U4-S30-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_09_hermit|major_07_chariot|major_16_tower|major_00_fool,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
217,4,30,6,major_09_hermit,The Hermit,major,True,5,standard,U4-S30-N5,A3,Major/Minor Arcana ID,card_art_grid,standing_skill,major_09_hermit|major_07_chariot|minor_swords_king,3,n/a,"Major/Minor sorting - visual/structural skill, recurs unchanged every section"
218,4,30,6,major_09_hermit,The Hermit,major,True,6,standard,U4-S30-N6,B,True/False Talking Point,mixed_card_statements,interleave_review,major_09_hermit|major_07_chariot,2,n/a,True/False statements drawn from the new card plus recently taught cards
219,4,30,6,major_09_hermit,The Hermit,major,True,7,standard,U4-S30-N7,C,Board Matching,tile_grid,interleave_review,major_09_hermit|major_07_chariot|minor_swords_king|minor_swords_queen,4,n/a,"Closing review: new card tiled against recently taught cards, grid grows over the course"
220,4,31,7,major_10_wheel_of_fortune,The Wheel of Fortune,major,True,1,standard,U4-S31-N1,A1,Choose Card From Keywords,keywords,isolation,major_10_wheel_of_fortune|major_19_sun|major_09_hermit|major_01_magician,1,easy,First exposure: full keyword list -> card art
221,4,31,7,major_10_wheel_of_fortune,The Wheel of Fortune,major,True,2,standard,U4-S31-N2,A2,Choose Meaning From Card,card_art_to_description_condensed,isolation,major_10_wheel_of_fortune|major_19_sun|major_09_hermit|major_01_magician,1,easy,Reverse direction: card art -> matching description
222,4,31,7,major_10_wheel_of_fortune,The Wheel of Fortune,major,True,3,standard,U4-S31-N3,A5,Symbol Meaning Match,meaning_phrase_to_symbol,isolation,major_10_wheel_of_fortune,1,easy,New symbol taught: Planet - Jupiter
223,4,31,7,major_10_wheel_of_fortune,The Wheel of Fortune,major,True,4,standard,U4-S31-N4,A2,Choose Meaning From Card,collated_talking_points,near_context,major_10_wheel_of_fortune|major_09_hermit|major_19_sun|major_09_hermit,1,easy_plus_one_known,Third text form of the same new card; distractor pool starts folding in one known card once available
